SKU,init_stock,vlt
SKU1262,1,1
SKU1263,7,1
SKU1264,13,1
SKU1265,600,5
SKU1266,27,3
SKU1267,3,2
SKU1268,61,3
SKU1269,23,1
SKU1270,0,1
SKU1271,0,1
SKU1272,15,1
SKU1273,0,1
SKU1274,0,1
SKU1275,21,3
SKU1276,14,1
SKU1277,10,2
SKU1278,12,1
SKU1279,0,1
SKU1280,4,1
SKU1281,1,1
SKU1282,10,3
SKU1283,0,1
SKU1284,0,1
SKU1285,0,2
SKU1286,8,9
SKU1287,68,1
SKU1288,61,1
SKU1289,19,2
SKU1290,0,1
SKU1291,0,2
SKU1292,14,1
SKU1293,9,2
SKU1294,2,3
SKU1295,0,1
SKU1296,5,1
SKU1297,17,1
SKU1298,6,2
SKU1299,7,1
SKU1300,19,2
SKU1301,0,5
SKU1302,7,1
SKU1303,48,1
SKU1304,6,1
SKU1305,36,1
SKU1306,1,1
SKU1307,1,1
SKU1308,42,4
SKU1309,34,4
SKU1310,1,1
SKU1311,6,1
SKU1312,6,1
SKU1313,10,3
SKU1314,20,1
SKU1315,76,3
SKU1316,29,4
SKU1317,6,3
SKU1318,32,2
SKU1319,6,1
SKU1320,11,1
SKU1321,19,1
SKU1322,2,1
SKU1323,1,2
SKU1324,0,1
SKU1325,72,2
SKU1326,3,2
SKU1327,107,4
SKU1328,23,1
SKU1329,24,1
SKU1330,25,1
SKU1331,2,1
SKU1332,0,2
SKU1333,7,1
SKU1334,33,7
SKU1335,0,1
SKU1336,0,1
SKU1337,14,2
SKU1338,8,1
SKU1339,10,1
SKU1340,2,2
SKU1341,32,1
SKU1342,10,1
SKU1343,0,1
SKU1344,8,1
SKU1345,64,3
SKU1346,26,1
SKU1347,124,7
SKU1348,6,2
SKU1349,20,2
SKU1350,0,1
SKU1351,25,5
SKU1352,0,4
SKU1353,0,1
SKU1354,1,1
SKU1355,11,1
SKU1356,14,2
SKU1357,65,1
SKU1358,25,1
SKU1359,6,1
SKU1360,413,2
SKU1361,0,3
SKU1362,10,1
SKU1363,79,1
SKU1364,13,2
SKU1365,41,4
SKU1366,35,1
SKU1367,7,1
SKU1368,30,1
SKU1369,25,1
SKU1370,188,1
SKU1371,11,1
SKU1372,70,4
SKU1373,1,1
SKU1374,4,1
SKU1375,1,1
SKU1376,11,2
SKU1377,25,1
SKU1378,20,1
SKU1379,26,1
SKU1380,34,3
SKU1381,1,2
SKU1382,5,2
SKU1383,24,1
SKU1384,61,2
SKU1385,74,2
SKU1386,35,1
SKU1387,13,1
SKU1388,393,8
SKU1389,294,7
SKU1390,0,1
SKU1391,19,2
SKU1392,15,1
SKU1393,21,2
SKU1394,0,1
SKU1395,0,1
SKU1396,58,2
SKU1397,56,1
SKU1398,0,1
SKU1399,18,1
SKU1400,2,1
SKU1401,34,2
SKU1402,18,1
SKU1403,5,2
SKU1404,6,1
SKU1405,1,1
SKU1406,34,1
SKU1407,7,1
SKU1408,174,2
SKU1409,11,1
SKU1410,24,1
SKU1411,13,1
SKU1412,32,9
SKU1413,1,1
SKU1414,41,2
SKU1415,112,1
SKU1416,53,1
SKU1417,875,2
SKU1418,0,1
SKU1419,25,2
SKU1420,3,1
SKU1421,44,1
SKU1422,21,1
SKU1423,5,1
SKU1424,4,2
SKU1425,10,2
SKU1426,77,3
SKU1427,3,1
SKU1428,0,2
SKU1429,149,8
SKU1430,4,1
SKU1431,4,1
SKU1432,8,1
SKU1433,11,1
SKU1434,5,1
SKU1435,14,3
SKU1436,35,3
SKU1437,25,2
SKU1438,0,1
SKU1439,1,3
SKU1440,0,1
SKU1441,20,1
SKU1442,7,1
SKU1443,19,1
SKU1444,10,2
SKU1445,0,4
SKU1446,54,4
SKU1447,46,1
SKU1448,12,1
SKU1449,35,3
SKU1450,47,1
SKU1451,34,1
SKU1452,32,5
SKU1453,20,1
SKU1454,19,1
SKU1455,0,1
SKU1456,0,1
SKU1457,0,1
SKU1458,2,2
SKU1459,25,1
SKU1460,11,1
SKU1461,23,1
SKU1462,20,6
SKU1463,24,3
SKU1464,0,1
SKU1465,51,1
SKU1466,1,1
SKU1467,0,1
SKU1468,15,1
SKU1469,4,1
SKU1470,0,1
SKU1471,7,1
SKU1472,6,3
SKU1473,14,1
SKU1474,9,1
SKU1475,20,1
SKU1476,4,1
SKU1477,7,1
SKU1478,73,2
SKU1479,37,4
SKU1480,10,1
SKU1481,18,3
SKU1482,15,1
SKU1483,11,2
SKU1484,5,1
SKU1485,0,1
SKU1486,11,2
SKU1487,27,1
SKU1488,283,7
SKU1489,8,1
SKU1490,36,2
SKU1491,9,2
SKU1492,0,1
SKU1493,29,1
SKU1494,44,2
SKU1495,14,1
SKU1496,19,2
